case_id,t_model,t_cap,Longitude,Latitude
3094620,GE2.3-116,2300,-102.961288,39.151165
3094845,GE2.82-127,2820,-102.96109,39.077824
3053383,V100-2.0,2000,-102.961075,48.508049
3044966,GE1.5-77,1500,-102.96019,40.983894
3053738,SWT-2.3-108,2300,-102.960075,34.78595
3053354,V100-2.0,2000,-102.959953,48.528458
3053361,V100-2.0,2000,-102.959854,48.535591
3094282,GE2.82-127,2820,-102.959587,39.042503
3098575,GE2.82-127,2820,-102.959526,32.456245
3050924,GE1.79-100,1790,-102.959068,40.997253
3114208,GE2.82-127,2820,-102.959023,40.593971
3114555,GE2.5-116,2500,-102.958847,40.615192
3117092,GE2.82-127,2820,-102.958778,40.660133
3095102,GE2.3-116,2300,-102.958588,39.116333
3053747,SWT-2.3-108,2300,-102.958504,34.822094
3053335,V100-2.0,2000,-102.958382,48.477062
3098789,GE2.82-127,2820,-102.958305,32.370586
3053731,SWT-2.3-108,2300,-102.95755,34.77132
3131581,GE2.82-127,2820,-102.957458,39.208458
3053752,SWT-2.3-108,2300,-102.957428,34.831192
3061319,V100-2.0,2000,-102.957069,48.583382
3087311,GE1.715-103,1715,-102.956886,33.537895
3094161,GE2.3-116,2300,-102.956787,39.152042
3053351,V100-2.0,2000,-102.956772,48.507214
3098551,GE2.82-127,2820,-102.95652,32.404514
3113982,GE2.82-127,2820,-102.956215,40.633221
3053350,V100-2.0,2000,-102.956161,48.510395
3053340,V100-2.0,2000,-102.955879,48.514133
3063395,V100-2.0,2000,-102.955788,48.529713
3093518,GE2.82-127,2820,-102.955688,39.045734
3087340,GE1.715-103,1715,-102.955444,33.509365
3044940,GE1.5-77,1500,-102.955093,40.983593
3050981,GE1.79-100,1790,-102.954552,40.999863
3053320,V100-2.0,2000,-102.954323,48.535725
3087546,GE2.3-116,2300,-102.954155,33.53035
3056800,GE1.715-103,1715,-102.953804,46.638721
3094182,GE2.3-116,2300,-102.953194,39.117065
3132313,GE2.82-127,2820,-102.953171,39.184956
3087374,GE2.3-116,2300,-102.952446,33.524822
3094802,GE2.3-116,2300,-102.951988,39.154835
3132506,GE2.82-127,2820,-102.951813,39.20113
3098583,GE2.82-127,2820,-102.951767,32.369846
3098060,GE2.82-127,2820,-102.951118,32.45536
3053745,SWT-2.3-108,2300,-102.950966,34.804016
3094822,GE2.82-127,2820,-102.95079,39.047535
3087327,GE2.3-116,2300,-102.950714,33.552181
3053748,SWT-2.3-108,2300,-102.950478,34.816914
3118160,GE2.82-127,2820,-102.950386,40.663448
3113823,GE2.82-127,2820,-102.950119,40.595165
3099417,GE2.82-127,2820,-102.949791,32.4016
3044967,GE1.5-77,1500,-102.949493,40.984894
3087662,GE1.715-103,1715,-102.949249,33.508556
3132321,GE2.82-127,2820,-102.948868,39.191124
3053741,SWT-2.3-108,2300,-102.948692,34.793041
3050982,GE1.79-100,1790,-102.948494,40.996792
3053732,SWT-2.3-108,2300,-102.948196,34.771442
3095048,GE2.82-127,2820,-102.94809,39.081772
3094315,GE2.3-116,2300,-102.947891,39.129753
3053321,V100-2.0,2000,-102.947266,48.536789
3131531,GE2.82-127,2820,-102.946953,39.217152
3098085,GE2.82-127,2820,-102.946831,32.368443
3087623,GE2.3-116,2300,-102.946625,33.548916
3044941,GE1.5-77,1500,-102.945992,40.986794
3073765,V100-2.0,2000,-102.945908,48.539894
3093586,GE2.82-127,2820,-102.945892,39.114914
3087768,GE2.3-116,2300,-102.94577,33.521759
3117204,GE2.82-127,2820,-102.945053,40.667892
3050986,GE1.79-100,1790,-102.944969,41.000172
3097941,GE2.82-127,2820,-102.944855,32.456017
3087424,GE1.715-103,1715,-102.944527,33.501198
3094806,GE2.82-127,2820,-102.944191,39.046272
3056801,GE1.715-103,1715,-102.944138,46.639465
3098664,GE2.82-127,2820,-102.94371,32.393978
3131769,GE2.82-127,2820,-102.943428,39.205605
3132487,GE2.82-127,2820,-102.943268,39.224735
3056802,GE1.715-103,1715,-102.942383,46.632908
3094825,GE2.3-116,2300,-102.942291,39.131172
3087309,GE2.3-116,2300,-102.942093,33.519623
3087238,GE2.3-116,2300,-102.942078,33.543976
3087283,GE2.3-116,2300,-102.941307,33.570934
3053323,V100-2.0,2000,-102.940903,48.53928
3114703,GE2.82-127,2820,-102.940773,40.600849
3098332,GE2.82-127,2820,-102.940659,32.335743
3098592,GE2.82-127,2820,-102.940269,32.366749
3131956,GE2.82-127,2820,-102.940193,39.216785
3053733,SWT-2.3-108,2300,-102.940033,34.772007
3094587,GE2.82-127,2820,-102.939789,39.114033
3053749,SWT-2.3-108,2300,-102.939568,34.811398
3116781,GE2.82-127,2820,-102.939423,40.67379
3131502,GE2.82-127,2820,-102.939331,39.191002
3053742,SWT-2.3-108,2300,-102.938759,34.790169
3097874,GE2.82-127,2820,-102.938652,32.39048
3132581,GE2.82-127,2820,-102.937798,39.208111
3087587,GE2.3-116,2300,-102.937675,33.567253
3098225,GE2.82-127,2820,-102.937553,32.456573
3094955,GE2.82-127,2820,-102.937492,39.044292
3087256,GE1.715-103,1715,-102.937447,33.501251
3117190,GE2.82-127,2820,-102.93676,40.68124
3095289,GE2.3-116,2300,-102.936691,39.130772
3110807,GE2.72-116,2720,-102.936562,48.811871
3114696,GE2.5-116,2500,-102.936554,40.606453
3110452,GE2.72-116,2720,-102.936218,48.80291
3053753,SWT-2.3-108,2300,-102.936073,34.832047
3110314,GE2.72-116,2720,-102.935982,48.816288
3087606,GE2.3-116,2300,-102.935951,33.537994
3122270,SWT-2.3-108,2300,-102.935791,40.963993
3098010,GE2.82-127,2820,-102.934845,32.334766
3106516,GE2.72-116,2720,-102.93483,48.788177
3053324,V100-2.0,2000,-102.934784,48.540207
3087690,GE2.3-116,2300,-102.934532,33.515587
3106003,GE2.72-116,2720,-102.934158,48.81979
3098049,GE2.82-127,2820,-102.934013,32.365032
3056816,GE1.715-103,1715,-102.933891,46.642616
3131551,GE2.82-127,2820,-102.933868,39.220291
3087621,GE2.3-116,2300,-102.933601,33.589832
3122285,GE1.6-91,1600,-102.933289,40.974491
3087667,GE2.3-116,2300,-102.932274,33.562656
3087766,GE2.3-116,2300,-102.932205,33.536076
3106679,GE2.72-116,2720,-102.932098,48.823879
3107733,GE2.72-116,2720,-102.931953,48.781559
3056777,GE1.715-103,1715,-102.931801,46.632877
3094769,GE2.82-127,2820,-102.931793,39.044594
3087353,GE2.3-116,2300,-102.931602,33.581879
3122292,SWT-2.3-108,2300,-102.931488,40.963795
3114669,GE2.82-127,2820,-102.931267,40.593479
3098042,GE2.82-127,2820,-102.931267,32.384602
3053750,SWT-2.3-108,2300,-102.930656,34.808514
3056763,GE1.715-103,1715,-102.93058,46.646755
3122325,GE1.6-91,1600,-102.930489,40.976791
